shareholder,type,holding_date,pct_of_shares,shares_amount,change,turnover,symbol,company_name,industry,close_price_amount,close_price_currency,shares_value
Medinex Limited,Corporation,29 Aug 2022,4.0228%,6090400.0,0,-,1B1,HC Surgical (1B1),"Healthcare Services, Healthcare Facilities & Services",0.405,SGD ,2466612.0
Leo (Ting Ping Ronald),Individual Investor,29 Aug 2022,2.2561%,3415629.0,0,-,1B1,HC Surgical (1B1),"Healthcare Services, Healthcare Facilities & Services",0.405,SGD ,1383329.745
Ang (Boon Cheow),Individual Investor,25 Mar 2022,64.5969%,278160811.0,0,-,1B6,Ocean Sky Intl (1B6),"Industrial & Commercial Services, Construction & Engineering",0.043,SGD ,11960914.873
Ang (Boon Chong Albert),Individual Investor,25 Mar 2022,7.3958%,31847044.0,0,-,1B6,Ocean Sky Intl (1B6),"Industrial & Commercial Services, Construction & Engineering",0.043,SGD ,1369422.892
Wong (Siew Hui),Individual Investor,25 Mar 2022,1.8796%,8093556.0,0,-,1B6,Ocean Sky Intl (1B6),"Industrial & Commercial Services, Construction & Engineering",0.043,SGD ,348022.908
Ang (Siew Tiong),Individual Investor,25 Mar 2022,1.7861%,7691098.0,0,-,1B6,Ocean Sky Intl (1B6),"Industrial & Commercial Services, Construction & Engineering",0.043,SGD ,330717.214
Tan (Kim Seng),Individual Investor,25 Mar 2022,0.5806%,2500000.0,0,LOW,1B6,Ocean Sky Intl (1B6),"Industrial & Commercial Services, Construction & Engineering",0.043,SGD ,107499.99999999999
Zhu (Xiaolin),Individual Investor,15 Mar 2022,20.4049%,200390864.0,0,-,1C0,ETC Singapore (1C0),"Real Estate, Real Estate Development & Operations",0.034,SGD ,6813289.376
Zhang (Xiang),Individual Investor,15 Mar 2022,9.0625%,89000000.0,0,-,1C0,ETC Singapore (1C0),"Real Estate, Real Estate Development & Operations",0.034,SGD ,3026000.0
Teo (Cheng Kwee),Individual Investor,15 Mar 2022,6.0364%,59281760.0,0,-,1C0,ETC Singapore (1C0),"Real Estate, Real Estate Development & Operations",0.034,SGD ,2015579.84
Zhang (Xiaoping),Individual Investor,15 Mar 2022,2.2747%,22339130.0,0,-,1C0,ETC Singapore (1C0),"Real Estate, Real Estate Development & Operations",0.034,SGD ,759530.42
Tan (Eng Chua Edwin),Individual Investor,15 Mar 2022,1.9597%,19245640.0,0,LOW,1C0,ETC Singapore (1C0),"Real Estate, Real Estate Development & Operations",0.034,SGD ,654351.76
Lim (Hee Liat),Individual Investor,12 Dec 2022,39.5131%,493915165.0,0,-,1D0,Kimly (1D0/KIML.SI),"Cyclical Consumer Services, Restaurants & Bars",0.345,SGD ,170400731.92499998
Peh (Oon Kee),Individual Investor,12 Dec 2022,7.9447%,99309105.0,0,-,1D0,Kimly (1D0/KIML.SI),"Cyclical Consumer Services, Restaurants & Bars",0.345,SGD ,34261641.224999994
Ng (Lay Beng),Individual Investor,12 Dec 2022,4.8389%,60486866.0,0,-,1D0,Kimly (1D0/KIML.SI),"Cyclical Consumer Services, Restaurants & Bars",0.345,SGD ,20867968.77
Ng (Thian Hoo),Individual Investor,12 Dec 2022,3.9298%,49123124.0,0,-,1D0,Kimly (1D0/KIML.SI),"Cyclical Consumer Services, Restaurants & Bars",0.345,SGD ,16947477.779999997
Ng (Han Keow),Individual Investor,12 Dec 2022,3.7925%,47406862.0,0,-,1D0,Kimly (1D0/KIML.SI),"Cyclical Consumer Services, Restaurants & Bars",0.345,SGD ,16355367.389999999
Unusual Management Pte. Ltd.,Corporation,17 Jun 2022,76.8771%,791203041.0,0,-,1D1,UnUsUaL (1D1),"Cyclical Consumer Services, Leisure & Recreation",0.178,SGD ,140834141.298
Cp Investment Ltd,Other Insider Investor,17 Jun 2022,4.5720%,47054584.0,"47,054,584",-,1D1,UnUsUaL (1D1),"Cyclical Consumer Services, Leisure & Recreation",0.178,SGD ,8375715.952
Yeo (Khee Seng Benny),Individual Investor,17 Jun 2022,3.2520%,33469364.0,0,LOW,1D1,UnUsUaL (1D1),"Cyclical Consumer Services, Leisure & Recreation",0.178,SGD ,5957546.791999999
Ong (Chin Soon Leslie),Individual Investor,17 Jun 2022,2.7289%,28085664.0,0,-,1D1,UnUsUaL (1D1),"Cyclical Consumer Services, Leisure & Recreation",0.178,SGD ,4999248.192
Foo (Tong Mui),Individual Investor,17 Jun 2022,0.2745%,2825000.0,"2,825,000",-,1D1,UnUsUaL (1D1),"Cyclical Consumer Services, Leisure & Recreation",0.178,SGD ,502850.0
Asia Cornerstone Asset Management Company Limited,Investment Advisor,19 Oct 2022,17.8277%,367310614.0,0,LOW,1D3,LifeBrandz (1D3),"Cyclical Consumer Services, Restaurants & Bars",0.002,SGD ,734621.228
Capital Square Co.Ltd.,Corporation,02 Dec 2022,4.9109%,101180730.0,"-4,500,000",-,1D3,LifeBrandz (1D3),"Cyclical Consumer Services, Restaurants & Bars",0.002,SGD ,202361.46
Lee (Ee),Individual Investor,14 Oct 2022,3.8824%,79990700.0,"25,157,100",LOW,1D3,LifeBrandz (1D3),"Cyclical Consumer Services, Restaurants & Bars",0.002,SGD ,159981.4
iFAST Financial Pte. Ltd.,Corporation,14 Oct 2022,3.8307%,78925200.0,"59,046,900",LOW,1D3,LifeBrandz (1D3),"Cyclical Consumer Services, Restaurants & Bars",0.002,SGD ,157850.4
Narcis (Franz Elioe),Individual Investor,14 Oct 2022,2.7665%,57000000.0,"-3,000,000",-,1D3,LifeBrandz (1D3),"Cyclical Consumer Services, Restaurants & Bars",0.002,SGD ,114000.0
Q &amp; M Dental Group Singapore Ltd.,Corporation,18 May 2022,33.2950%,170233638.0,"2,562,800",-,1D4,Aoxin Q & M (1D4),"Healthcare Services, Healthcare Facilities & Services",0.09,SGD ,15321027.42
Shao (Yongxin),Individual Investor,18 Mar 2022,21.3973%,109401709.0,0,-,1D4,Aoxin Q & M (1D4),"Healthcare Services, Healthcare Facilities & Services",0.09,SGD ,9846153.81
Ong (Siew Hwa),Individual Investor,18 Mar 2022,17.2157%,88021818.0,0,-,1D4,Aoxin Q & M (1D4),"Healthcare Services, Healthcare Facilities & Services",0.09,SGD ,7921963.62
Honour Pte. Ltd.,Corporation,18 Mar 2022,3.6744%,18787000.0,"2,441,000",-,1D4,Aoxin Q & M (1D4),"Healthcare Services, Healthcare Facilities & Services",0.09,SGD ,1690830.0
Finest International Ltd.,Corporation,18 Mar 2022,2.0568%,10516320.0,0,-,1D4,Aoxin Q & M (1D4),"Healthcare Services, Healthcare Facilities & Services",0.09,SGD ,946468.7999999999
Twin Unitrade Sdn. Bhd.,Corporation,16 Sep 2022,29.5514%,4216586455.0,0,-,1D5,Capital World (1D5/CAPI.SI),"Real Estate, Real Estate Development & Operations",0.005,SGD ,21082932.275000002
Great View Finance Ltd.,Corporation,16 Sep 2022,13.1673%,1878800286.0,0,-,1D5,Capital World (1D5/CAPI.SI),"Real Estate, Real Estate Development & Operations",0.005,SGD ,9394001.43
Brilliant Outlook Sdn Bhd,Corporation,16 Sep 2022,10.4844%,1495983609.0,0,-,1D5,Capital World (1D5/CAPI.SI),"Real Estate, Real Estate Development & Operations",0.005,SGD ,7479918.045
Chong (Thim Pheng),Individual Investor,16 Sep 2022,8.6508%,1234360187.0,0,-,1D5,Capital World (1D5/CAPI.SI),"Real Estate, Real Estate Development & Operations",0.005,SGD ,6171800.9350000005
Scholars Link Sdn Bhd,Corporation,16 Sep 2022,8.5230%,1216120274.0,0,-,1D5,Capital World (1D5/CAPI.SI),"Real Estate, Real Estate Development & Operations",0.005,SGD ,6080601.37
Typha Holdings Pte. Ltd.,Corporation,24 Mar 2023,41.0516%,110288509.0,0,LOW,1E3,Sanli Env (1E3/SANL.SI),"Industrial & Commercial Services, Construction & Engineering",0.104,SGD ,11470004.935999999
Pek (Kian Boon),Individual Investor,23 Jun 2022,8.8951%,23897512.0,0,-,1E3,Sanli Env (1E3/SANL.SI),"Industrial & Commercial Services, Construction & Engineering",0.104,SGD ,2485341.2479999997
Sim (Hock Heng),Individual Investor,14 Jun 2023,8.1452%,21882675.0,0,LOW,1E3,Sanli Env (1E3/SANL.SI),"Industrial & Commercial Services, Construction & Engineering",0.104,SGD ,2275798.1999999997
Kew (Boon Kee),Individual Investor,14 Jun 2023,8.1452%,21882675.0,0,LOW,1E3,Sanli Env (1E3/SANL.SI),"Industrial & Commercial Services, Construction & Engineering",0.104,SGD ,2275798.1999999997
Lee (Tien Chiat),Individual Investor,23 Jun 2022,4.9441%,13282675.0,0,-,1E3,Sanli Env (1E3/SANL.SI),"Industrial & Commercial Services, Construction & Engineering",0.104,SGD ,1381398.2
Rekaweb.Com Sdn Bhd,Corporation,22 Aug 2022,37.7931%,43235250.0,0,-,1F0,Shopper360 (1F0),"Cyclical Consumer Services, Advertising & Marketing",0.102,SGD ,4409995.5
Koperasi Permodalan Felda Malaysia Berhad,Corporation,19 Aug 2022,20.2865%,23207750.0,0,LOW,1F0,Shopper360 (1F0),"Cyclical Consumer Services, Advertising & Marketing",0.102,SGD ,2367190.5
Ooi (Angelina),Individual Investor,19 Aug 2022,2.1635%,2475000.0,0,-,1F0,Shopper360 (1F0),"Cyclical Consumer Services, Advertising & Marketing",0.102,SGD ,252449.99999999997
Choot (Ewe Hin),Individual Investor,19 Aug 2022,2.1416%,2450000.0,0,-,1F0,Shopper360 (1F0),"Cyclical Consumer Services, Advertising & Marketing",0.102,SGD ,249899.99999999997
Ooi (Loon Kum),Individual Investor,19 Aug 2022,2.1416%,2450000.0,0,-,1F0,Shopper360 (1F0),"Cyclical Consumer Services, Advertising & Marketing",0.102,SGD ,249899.99999999997
Low (Yik Jin Alex),Individual Investor,22 Mar 2022,29.9225%,73865000.0,0,-,1F1,Y Ventures (1F1),"Software & IT Services, Internet Services",0.028,SGD ,2068220.0
Low (Yik Sen Adam),Individual Investor,22 Mar 2022,21.6180%,53365000.0,0,-,1F1,Y Ventures (1F1),"Software & IT Services, Internet Services",0.028,SGD ,1494220.0
Lew (Chern Yong),Individual Investor,17 Aug 2022,4.7396%,11700000.0,"-800,000",-,1F1,Y Ventures (1F1),"Software & IT Services, Internet Services",0.028,SGD ,327600.0
Chien (Chung Ming),Individual Investor,22 Mar 2022,1.8953%,4678600.0,0,-,1F1,Y Ventures (1F1),"Software & IT Services, Internet Services",0.028,SGD ,131000.8
iFAST Financial Pte. Ltd.,Corporation,22 Mar 2022,1.3280%,3278200.0,"1,487,100",LOW,1F1,Y Ventures (1F1),"Software & IT Services, Internet Services",0.028,SGD ,91789.6
Union Energy Corporation Pte Ltd,Corporation,16 Mar 2022,35.5541%,112979335.0,0,-,1F2,Union Gas (1F2),"Utilities, Natural Gas Utilities",0.335,SGD ,37848077.225
Teo (Kiang Ang),Individual Investor,16 Mar 2022,23.2688%,73940600.0,0,-,1F2,Union Gas (1F2),"Utilities, Natural Gas Utilities",0.335,SGD ,24770101.0
Teo (Hark Piang),Individual Investor,16 Mar 2022,8.0183%,25479500.0,0,-,1F2,Union Gas (1F2),"Utilities, Natural Gas Utilities",0.335,SGD ,8535632.5
Tan (Ai Bin Vincent De Paul),Individual Investor,16 Mar 2022,3.5338%,11229100.0,"471,200",-,1F2,Union Gas (1F2),"Utilities, Natural Gas Utilities",0.335,SGD ,3761748.5
Teo (Woo Yang),Individual Investor,16 Mar 2022,3.5246%,11200000.0,0,-,1F2,Union Gas (1F2),"Utilities, Natural Gas Utilities",0.335,SGD ,3752000.0
Aspen Vision Group Sdn. Bhd.,Corporation,27 Sep 2022,45.7486%,495602146.0,0,-,1F3,Aspen (1F3),"Real Estate, Real Estate Development & Operations",0.034,SGD ,16850472.964
Ideal Force Sdn. Bhd.,Corporation,27 Sep 2022,5.8358%,63220276.0,"-500,000",-,1F3,Aspen (1F3),"Real Estate, Real Estate Development & Operations",0.034,SGD ,2149489.384
Oh (Kim Sun),Individual Investor,27 Sep 2022,3.8161%,41340000.0,0,-,1F3,Aspen (1F3),"Real Estate, Real Estate Development & Operations",0.034,SGD ,1405560.0
Intisari Utama Sdn. Bhd.,Corporation,27 Sep 2022,0.9485%,10275806.0,0,-,1F3,Aspen (1F3),"Real Estate, Real Estate Development & Operations",0.034,SGD ,349377.40400000004
Cheah (Teik Seng),Individual Investor,27 Sep 2022,0.4136%,4480252.0,0,-,1F3,Aspen (1F3),"Real Estate, Real Estate Development & Operations",0.034,SGD ,152328.568
Tatara (Hiroshi),Individual Investor,21 Sep 2022,62.2890%,220503130.0,0,-,1G1,RE&S Hldg (1G1/RESH.SI),"Cyclical Consumer Services, Restaurants & Bars",0.275,SGD ,60638360.75000001
Yek (Hong Liat John),Individual Investor,21 Sep 2022,16.9492%,60000000.0,0,-,1G1,RE&S Hldg (1G1/RESH.SI),"Cyclical Consumer Services, Restaurants & Bars",0.275,SGD ,16500000.000000002
Orchid 2 Investments Pte Ltd,Corporation,21 Sep 2022,4.5198%,16000000.0,0,-,1G1,RE&S Hldg (1G1/RESH.SI),"Cyclical Consumer Services, Restaurants & Bars",0.275,SGD ,4400000.0
Foo (Kah Lee),Individual Investor,21 Sep 2022,2.5424%,9000000.0,0,-,1G1,RE&S Hldg (1G1/RESH.SI),"Cyclical Consumer Services, Restaurants & Bars",0.275,SGD ,2475000.0
Lim (Shyang Zheng),Individual Investor,21 Sep 2022,2.2130%,7834000.0,0,-,1G1,RE&S Hldg (1G1/RESH.SI),"Cyclical Consumer Services, Restaurants & Bars",0.275,SGD ,2154350.0
GuGong Pte. Ltd.,Corporation,30 Sep 2022,54.9101%,253899980.0,0,-,1G6,No Signboard (1G6),"Cyclical Consumer Services, Restaurants & Bars",0.031,SGD ,7870899.38
Su (Haijin),Individual Investor,30 Sep 2022,20.0000%,92478495.0,0,-,1G6,No Signboard (1G6),"Cyclical Consumer Services, Restaurants & Bars",0.031,SGD ,2866833.345
Goi (Seng Hui),Individual Investor,30 Sep 2022,0.9084%,4200500.0,"1,725,600",LOW,1G6,No Signboard (1G6),"Cyclical Consumer Services, Restaurants & Bars",0.031,SGD ,130215.5
Ang (Yee Lim),Individual Investor,30 Sep 2022,0.5563%,2572100.0,0,LOW,1G6,No Signboard (1G6),"Cyclical Consumer Services, Restaurants & Bars",0.031,SGD ,79735.1
Chua (Eng Hock),Individual Investor,30 Sep 2022,0.3973%,1837000.0,"-800,000",-,1G6,No Signboard (1G6),"Cyclical Consumer Services, Restaurants & Bars",0.031,SGD ,56947.0
Chiu Teng Enterprises Pte Ltd,Corporation,15 Mar 2023,28.9165%,33500000.0,0,LOW,1H2,Olive Tree (1H2),"Real Estate, Real Estate Development & Operations",0.083,SGD ,2780500.0
Tham (Keng Chuen),Individual Investor,15 Mar 2023,20.2847%,23500000.0,0,HIGH,1H2,Olive Tree (1H2),"Real Estate, Real Estate Development & Operations",0.083,SGD ,1950500.0
Kim (Kyoo Chul),Individual Investor,15 Mar 2023,20.2847%,23500000.0,0,LOW,1H2,Olive Tree (1H2),"Real Estate, Real Estate Development & Operations",0.083,SGD ,1950500.0
Koh (Tong Ho),Individual Investor,15 Mar 2023,3.2369%,3750000.0,0,LOW,1H2,Olive Tree (1H2),"Real Estate, Real Estate Development & Operations",0.083,SGD ,311250.0
Fong (Kim Chit),Individual Investor,15 Mar 2023,3.2369%,3750000.0,0,LOW,1H2,Olive Tree (1H2),"Real Estate, Real Estate Development & Operations",0.083,SGD ,311250.0
Chen (Johnson),Individual Investor,25 Mar 2022,12.4473%,77055100.0,0,-,1H3,Clearbridge (1H3),"Healthcare Services, Healthcare Facilities & Services",0.026,SGD ,2003432.5999999999
Bonvests Holdings Ltd,Corporation,25 Mar 2022,6.6764%,41330500.0,0,-,1H3,Clearbridge (1H3),"Healthcare Services, Healthcare Facilities & Services",0.026,SGD ,1074593.0
Amereus Group Pte. Ltd.,Corporation,25 Mar 2022,6.4246%,39771600.0,0,-,1H3,Clearbridge (1H3),"Healthcare Services, Healthcare Facilities & Services",0.026,SGD ,1034061.6
Chen (Chung Ni Johnny),Individual Investor,25 Mar 2022,5.0173%,31059800.0,0,-,1H3,Clearbridge (1H3),"Healthcare Services, Healthcare Facilities & Services",0.026,SGD ,807554.7999999999
Yee (Pinh Jeremy),Individual Investor,16 May 2023,4.4394%,27482175.0,"153,101",-,1H3,Clearbridge (1H3),"Healthcare Services, Healthcare Facilities & Services",0.026,SGD ,714536.5499999999
Lian Yu Holdings Pte. Ltd.,Corporation,22 May 2023,72.6084%,355159700.0,0,LOW,1H8,LY Corp (1H8),"Cyclical Consumer Products, Home Furnishings",0.05,SGD ,17757985.0
Crown Leap Ltd.,Corporation,15 Mar 2022,12.2133%,59740800.0,0,-,1H8,LY Corp (1H8),"Cyclical Consumer Products, Home Furnishings",0.05,SGD ,2987040.0
Tan (Kwee Chai),Individual Investor,22 May 2023,0.6154%,3010400.0,"490,000",LOW,1H8,LY Corp (1H8),"Cyclical Consumer Products, Home Furnishings",0.05,SGD ,150520.0
Tee (Boon Huat),Individual Investor,15 Mar 2022,0.4436%,2170000.0,"675,000",-,1H8,LY Corp (1H8),"Cyclical Consumer Products, Home Furnishings",0.05,SGD ,108500.0
Tang (Hee Sung),Individual Investor,15 Mar 2022,0.4109%,2010000.0,0,-,1H8,LY Corp (1H8),"Cyclical Consumer Products, Home Furnishings",0.05,SGD ,100500.0
Lian Beng Group Ltd,Corporation,15 Aug 2022,77.5999%,708487500.0,0,-,1J0,SLB Dev (1J0),"Real Estate, Real Estate Development & Operations",0.13,SGD ,92103375.0
Teo (Kee Bock),Individual Investor,15 Aug 2022,2.4880%,22715600.0,0,LOW,1J0,SLB Dev (1J0),"Real Estate, Real Estate Development & Operations",0.13,SGD ,2953028.0
Lin (Yucheng),Individual Investor,15 Aug 2022,2.3549%,21500000.0,0,-,1J0,SLB Dev (1J0),"Real Estate, Real Estate Development & Operations",0.13,SGD ,2795000.0
Seng (Chew Hock),Individual Investor,15 Aug 2022,1.0953%,10000000.0,0,-,1J0,SLB Dev (1J0),"Real Estate, Real Estate Development & Operations",0.13,SGD ,1300000.0
Ong (Lay Koon),Individual Investor,21 Jun 2022,0.9353%,8539200.0,0,HIGH,1J0,SLB Dev (1J0),"Real Estate, Real Estate Development & Operations",0.13,SGD ,1110096.0
UMS Holdings Ltd.,Corporation,20 Jun 2023,73.6904%,305037436.0,0,LOW,1J4,JEP (1J4/JEPH.SI),"Industrial & Commercial Services, Construction & Engineering",0.32,SGD ,97611979.52
Seven Creek Pte. Ltd.,Corporation,15 Mar 2023,3.6116%,14950000.0,0,-,1J4,JEP (1J4/JEPH.SI),"Industrial & Commercial Services, Construction & Engineering",0.32,SGD ,4784000.0
Tan (Tai Sim),Individual Investor,15 Mar 2023,1.1322%,4686500.0,0,-,1J4,JEP (1J4/JEPH.SI),"Industrial & Commercial Services, Construction & Engineering",0.32,SGD ,1499680.0
Lee (Nai Ming),Individual Investor,15 Mar 2023,0.8481%,3510475.0,0,-,1J4,JEP (1J4/JEPH.SI),"Industrial & Commercial Services, Construction & Engineering",0.32,SGD ,1123352.0
Heng (Yong Seng),Individual Investor,15 Mar 2023,0.7972%,3300000.0,0,LOW,1J4,JEP (1J4/JEPH.SI),"Industrial & Commercial Services, Construction & Engineering",0.32,SGD ,1056000.0
Lim (See Wah),Individual Investor,14 Mar 2022,38.7563%,119833839.0,0,-,1J5,Hyphens Pharma (1J5),"Pharmaceuticals & Medical Research, Pharmaceuticals",0.275,SGD ,32954305.725
Tan (Kia King),Individual Investor,14 Mar 2022,24.7029%,76380801.0,0,-,1J5,Hyphens Pharma (1J5),"Pharmaceuticals & Medical Research, Pharmaceuticals",0.275,SGD ,21004720.275000002
Tan (Chwee Choon),Individual Investor,14 Mar 2022,12.3046%,38045560.0,0,-,1J5,Hyphens Pharma (1J5),"Pharmaceuticals & Medical Research, Pharmaceuticals",0.275,SGD ,10462529.0
Lau (Jui Fang),Individual Investor,14 Mar 2022,1.3496%,4172900.0,"4,172,900",-,1J5,Hyphens Pharma (1J5),"Pharmaceuticals & Medical Research, Pharmaceuticals",0.275,SGD ,1147547.5
Ng (Kian Peng Albert),Individual Investor,14 Mar 2022,1.3496%,4172900.0,"4,172,900",-,1J5,Hyphens Pharma (1J5),"Pharmaceuticals & Medical Research, Pharmaceuticals",0.275,SGD ,1147547.5
Jawala Corporation Sdn. Bhd.,Corporation,06 Oct 2022,84.4067%,100000000.0,0,-,1J7,Jawala (1J7),"Applied Resources, Forest & Wood Products",0.095,SGD ,9500000.0
Toh (Guang Wen),Individual Investor,06 Oct 2022,0.1843%,218400.0,"218,400",-,1J7,Jawala (1J7),"Applied Resources, Forest & Wood Products",0.095,SGD ,20748.0
Yeo (Khee Seng Benny),Individual Investor,06 Oct 2022,0.1182%,140000.0,0,LOW,1J7,Jawala (1J7),"Applied Resources, Forest & Wood Products",0.095,SGD ,13300.0
Tan (Lay Ching),Individual Investor,06 Oct 2022,0.1182%,140000.0,0,-,1J7,Jawala (1J7),"Applied Resources, Forest & Wood Products",0.095,SGD ,13300.0
Yung (Lay Kiang),Individual Investor,06 Oct 2022,0.1182%,140000.0,0,-,1J7,Jawala (1J7),"Applied Resources, Forest & Wood Products",0.095,SGD ,13300.0
Lim (Eng Hong),Individual Investor,08 Jun 2023,36.3135%,62112875.0,"783,000",LOW,1R6,Avi-Tech Hldg (1R6),"Technology Equipment, Semiconductors",0.265,SGD ,16459911.875
Loh (Zee Lan Nancy),Individual Investor,15 Sep 2022,6.0188%,10295000.0,0,-,1R6,Avi-Tech Hldg (1R6),"Technology Equipment, Semiconductors",0.265,SGD ,2728175.0
San Tai Construction (S) Pte Ltd,Corporation,15 Sep 2022,2.6309%,4500000.0,"4,500,000",LOW,1R6,Avi-Tech Hldg (1R6),"Technology Equipment, Semiconductors",0.265,SGD ,1192500.0
Tsia (Hah Tong),Individual Investor,15 Sep 2022,2.4968%,4270650.0,"4,270,650",-,1R6,Avi-Tech Hldg (1R6),"Technology Equipment, Semiconductors",0.265,SGD ,1131722.25
Providence Investments Pte. Ltd.,Corporation,15 Sep 2022,2.3868%,4082500.0,"4,082,500",-,1R6,Avi-Tech Hldg (1R6),"Technology Equipment, Semiconductors",0.265,SGD ,1081862.5
Feng Tai Investment Pte. Ltd,Corporation,25 Oct 2022,73.6039%,190634061.0,0,-,1V3,Mooreast (1V3),"Mineral Resources, Iron & Steel",0.14,SGD ,26688768.540000003
EDB Investments Pte. Ltd.,Venture Capital,16 Mar 2022,11.3961%,29515939.0,0,LOW,1V3,Mooreast (1V3),"Mineral Resources, Iron & Steel",0.14,SGD ,4132231.4600000004
